,station_id,counts,name,lat,lon,station_type,capacity
0,82,3,St James Pl & Pearl St,40.71117416,-74.00016545,classic,27
1,119,5,Park Ave & St Edwards St,40.69608941,-73.97803415,classic,53
2,127,3,Barrow St & Hudson St,40.73172428,-74.00674436,classic,31
3,143,2,Clinton St & Joralemon St,40.69239502,-73.99337909,classic,50
4,144,4,Nassau St & Navy St,40.69839895,-73.98068914,classic,58
5,146,3,Hudson St & Reade St,40.71625008,-74.0091059,classic,55
6,152,3,Warren St & W Broadway,40.71473993,-74.00910627,classic,49
7,157,4,Henry St & Atlantic Ave,40.69089272,-73.99612349,classic,23
8,161,2,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,classic,35
9,212,4,W 16 St & The High Line,40.74334935,-74.00681753,classic,60
10,217,20,Old Fulton St,40.70277159,-73.99383605,classic,39
11,229,6,Great Jones St,40.72743423,-73.99379025,classic,23
12,232,1,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,classic,52
13,238,1,Bank St & Washington St,40.7361967,-74.00859207,classic,31
14,239,4,Willoughby St & Fleet St,40.69196566,-73.9813018,classic,62
15,245,4,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,classic,56
16,247,7,Perry St & Bleecker St,40.73535398,-74.00483091,classic,59
17,249,1,Harrison St & Hudson St,40.71870987,-74.0090009,classic,27
18,250,2,Lafayette St & Jersey St,40.72456089,-73.99565293,classic,40
19,251,2,Mott St & Prince St,40.72317958,-73.99480012,classic,27
20,261,4,Johnson St & Gold St,40.69474881,-73.98362464,classic,41
21,262,1,Washington Park,40.6917823,-73.9737299,classic,24
22,265,7,Stanton St & Chrystie St,40.72229346,-73.99147535,classic,35
23,268,1,Howard St & Lafayette St,40.71910537,-73.99973337,classic,27
24,295,6,Pike St & E Broadway,40.71406667,-73.99293911,classic,24
25,298,3,3 Ave & Schermerhorn St,40.68683208,-73.9796772,classic,35
26,302,3,Avenue D & E 3 St,40.72082834,-73.97793172,classic,37
27,303,3,Mercer St & Spring St,40.72362738,-73.99949601,classic,67
28,304,1,Broadway & Battery Pl,40.70463334,-74.01361706,classic,48
29,305,1,E 58 St & 3 Ave,40.76095756,-73.96724467,classic,49
30,307,8,Canal St & Rutgers St,40.71427487,-73.98990025,classic,31
31,312,1,Allen St & Stanton St,40.722055,-73.989111,classic,33
32,313,2,Washington Ave & Park Ave,40.69610226,-73.96751037,classic,55
33,315,7,South St & Gouverneur Ln,40.70355377,-74.00670227,classic,29
34,316,4,Fulton St & William St,40.70960089363537,-74.00655090808868,classic,43
35,319,17,Fulton St & Broadway,40.711066,-74.009447,classic,33
36,320,1,Leonard St & Church St,40.717571,-74.005549,classic,54
37,321,5,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,classic,39
38,323,1,Lawrence St & Willoughby St,40.69236178,-73.98631746,classic,39
39,324,6,DeKalb Ave & Hudson Ave,40.689888,-73.981013,classic,74
40,325,2,E 19 St & 3 Ave,40.73624527,-73.98473765,classic,35
41,330,2,Reade St & Broadway,40.71450451,-74.00562789,classic,42
42,331,4,Pike St & Monroe St,40.71173107,-73.99193043,classic,27
43,340,1,Madison St & Clinton St,40.71269042,-73.98776323,classic,27
44,341,5,Stanton St & Mangin St,40.71782143,-73.97628939,classic,19
45,342,2,Columbia St & Rivington St,40.71739973,-73.98016555,classic,29
46,358,6,Christopher St & Greenwich St,40.73291553,-74.00711384,classic,50
47,360,2,William St & Pine St,40.70717936,-74.00887308,classic,39
48,361,9,Allen St & Hester St,40.71605866,-73.99190759,classic,79
49,364,1,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,classic,27
50,368,1,Carmine St & 6 Ave,40.73038599,-74.00214988,classic,47
51,373,2,Willoughby Ave & Walworth St,40.69331716,-73.95381995,classic,19
52,376,1,John St & William St,40.70862144,-74.00722156,classic,43
53,380,6,W 4 St & 7 Ave S,40.73401143,-74.00293877,classic,42
54,383,3,Greenwich Ave & Charles St,40.735238,-74.000271,classic,39
55,389,3,Broadway & Berry St,40.71044554,-73.96525063,classic,27
56,390,5,Duffield St & Willoughby St,40.69221589,-73.9842844,classic,48
57,392,1,Jay St & Tech Pl,40.695065,-73.987167,classic,35
58,398,10,Atlantic Ave & Furman St,40.69165183,-73.9999786,classic,37
59,401,3,Allen St & Rivington St,40.72019576,-73.98997825,classic,42
60,403,6,E 2 St & 2 Ave,40.72502876,-73.99069656,classic,58
61,406,1,Hicks St & Montague St,40.69512845,-73.99595065,classic,20
62,408,2,Market St & Cherry St,40.71076228,-73.99400398,classic,45
63,411,2,E 6 St & Avenue D,40.72228087,-73.97668709,classic,31
64,412,3,Forsyth St & Canal St,40.7158155,-73.99422366,classic,29
65,417,3,Barclay St & Church St,40.71291224,-74.01020234,classic,25
66,421,1,Clermont Ave & Park Ave,40.69573398,-73.97129668,classic,19
67,435,1,W 21 St & 6 Ave,40.74173969,-73.99415556,classic,50
68,437,3,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,classic,24
69,439,1,E 4 St & 2 Ave,40.7262807,-73.98978041,classic,43
70,443,1,Bedford Ave & S 9 St,40.70853074,-73.96408963,classic,23
71,460,6,S 4 St & Wythe Ave,40.71285887,-73.96590294,classic,25
72,462,2,W 22 St & 10 Ave,40.74691959,-74.00451887,classic,77
73,471,11,Grand St & Havemeyer St,40.71286844,-73.95698119,classic,31
74,473,4,Rivington St & Chrystie St,40.72110063,-73.9919254,classic,64
75,474,1,5 Ave & E 29 St,40.7451677,-73.98683077,classic,0
76,481,2,S 3 St & Bedford Ave,40.71260486,-73.96264403,classic,25
77,484,13,W 44 St & 5 Ave,40.75500254,-73.98014437,classic,46
78,502,2,Henry St & Grand St,40.714211,-73.981095,classic,36
79,503,1,E 20 St & Park Ave,40.73827428,-73.98751968,classic,30
80,510,8,W 51 St & 6 Ave,40.7606597,-73.98042047,classic,81
81,514,2,12 Ave & W 40 St,40.76087502,-74.00277668,classic,51
82,529,2,W 42 St & 8 Ave,40.7575699,-73.99098507,classic,41
83,531,5,Forsyth St & Broome St,40.71893904,-73.99266288,classic,66
84,532,8,S 5 Pl & S 5 St,40.710451,-73.960876,classic,43
85,539,9,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,classic,31
86,2000,1,Front St & Washington St,40.70255088,-73.98940236,classic,57
87,2002,3,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,classic,57
88,2008,2,Little West St & 1 Pl,40.70569254,-74.01677685,classic,35
89,2009,3,Catherine St & Monroe St,40.71117444,-73.99682619,classic,35
90,3016,7,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,classic,54
91,3042,5,Fulton St & Utica Ave,40.6794268,-73.9298911,classic,19
92,3053,1,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,classic,23
93,3056,3,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,classic,23
94,3062,3,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,classic,23
95,3065,3,Union Ave & Wallabout St,40.70029511,-73.95032283,classic,31
96,3068,5,Humboldt St & Varet St,40.7031724,-73.940636,classic,42
97,3071,4,Boerum St & Broadway,40.70538077,-73.94976519,classic,19
98,3072,3,Leonard St & Boerum St,40.70583339,-73.94644578,classic,24
99,3074,2,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,classic,42
100,3077,3,Stagg St & Union Ave,40.70877084,-73.95095259,classic,33
101,3081,6,Graham Ave & Grand St,40.711863,-73.944024,classic,29
102,3083,2,Bushwick Ave & Powers St,40.71247661,-73.94100005,classic,32
103,3085,7,Roebling St & N 4 St,40.71469,-73.95739,classic,25
104,3086,4,Graham Ave & Conselyea St,40.715143,-73.944507,classic,30
105,3087,7,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,classic,30
106,3088,7,Union Ave & Jackson St,40.7160751,-73.952029,classic,19
107,3092,11,Berry St & N 8 St,40.7190095,-73.95852515,classic,27
108,3094,5,Graham Ave & Withers St,40.7169811,-73.94485918,classic,18
109,3095,4,Graham Ave & Herbert St,40.71929301,-73.94500379,classic,26
110,3096,12,Union Ave & N 12 St,40.71924,-73.95242,classic,39
111,3100,4,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,classic,51
112,3101,9,N 12 St & Bedford Ave,40.72079821,-73.95484712,classic,27
113,3102,12,Driggs Ave & Lorimer St,40.72179134,-73.9504154,classic,27
114,3105,6,N 15 St & Wythe Ave,40.724055,-73.955736,classic,54
115,3106,19,Driggs Ave & N Henry St,40.72325,-73.94308,classic,21
116,3107,12,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,classic,39
117,3108,3,Nassau Ave & Russell St,40.72557,-73.94434,classic,51
118,3109,5,Banker St & Meserole Ave,40.72606,-73.95621,classic,31
119,3110,6,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,classic,28
120,3112,6,Milton St & Franklin St,40.72906,-73.95779,classic,33
121,3113,5,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,classic,27
122,3115,2,India St & Manhattan Ave,40.73232194,-73.9550858,classic,50
123,3116,2,Huron St & Franklin St,40.73266,-73.95826,classic,35
124,3124,2,46 Ave & 5 St,40.74731,-73.95451,classic,43
125,3125,2,45 Rd & 11 St,40.74708586,-73.94977234,classic,23
126,3140,1,1 Ave & E 78 St,40.77140426,-73.9535166,classic,57
127,3141,9,1 Ave & E 68 St,40.76500525,-73.95818491,classic,62
128,3184,1,Paulus Hook,40.7141454,-74.0335519,classic,14
129,3185,2,City Hall,40.7177325,-74.043845,classic,22
130,3186,17,Grove St PATH,40.71958611647166,-74.04311746358871,classic,42
131,3191,2,Union St,40.7182113,-74.0836394,classic,18
132,3193,1,Lincoln Park,40.7246050998869,-74.07840594649315,classic,18
133,3202,1,Newport PATH,40.7272235,-74.0337589,classic,18
134,3203,7,Hamilton Park,40.727595966,-74.044247311,classic,26
135,3209,1,Brunswick St,40.7241765,-74.0506564,classic,22
136,3211,4,Newark Ave,40.72152515,-74.046304543,classic,22
137,3220,1,5 Corners Library,40.734961020009514,-74.0595030784607,classic,18
138,3232,12,Bond St & Fulton St,40.68962188790333,-73.98304268717766,classic,47
139,3242,6,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,classic,59
140,3249,5,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208,classic,19
141,3255,5,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,classic,18
142,3256,6,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,classic,23
143,3260,3,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,classic,45
144,3269,1,Brunswick & 6th,40.72601172964625,-74.05038893222809,classic,14
145,3270,1,Jersey & 6th St,40.72528910781132,-74.04557168483734,classic,14
146,3272,6,Jersey & 3rd,40.72333158646436,-74.04595255851744,classic,14
147,3273,1,Manila & 1st,40.721650724879986,-74.04288411140442,classic,18
148,3278,1,Monmouth and 6th,40.72568548362901,-74.04879033565521,classic,14
149,3280,1,Astor Place,40.71928220070702,-74.07126188278198,classic,14
150,3298,3,Warren St & Court St,40.686371,-73.99383324,classic,31
151,3303,6,Butler St & Court St,40.6849894,-73.99440329,classic,35
152,3311,5,Columbia St & Kane St,40.68763155,-74.0016256,classic,20
153,3315,4,Henry St & Degraw St,40.6847514,-73.99917254,classic,23
154,3317,2,10 St & 5 Ave,40.6686273,-73.98700053,classic,24
155,3319,6,14 St & 5 Ave,40.666287,-73.98895053,classic,21
156,3321,2,Clinton St & Union St,40.6831164,-73.99785267,classic,38
157,3324,3,3 Ave & 14 St,40.6685455,-73.99333264,classic,25
158,3329,3,Degraw St & Smith St,40.6829151,-73.99318208,classic,27
159,3330,2,Henry St & Bay St,40.6725058,-74.00494695,classic,19
160,3332,6,Degraw St & Hoyt St,40.681990442707026,-73.99079024791718,classic,27
161,3335,5,Union St & 4 Ave,40.6772744,-73.98282002,classic,28
162,3337,6,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369,classic,23
163,3340,4,Wolcott St & Dwight St,40.6753274,-74.0100698,classic,21
164,3342,1,Pioneer St & Richards St,40.6777748,-74.0094613,classic,23
165,3347,3,Van Brunt St & Wolcott St,40.6773429,-74.01275056,classic,36
166,3348,1,Coffey St & Conover St,40.677236,-74.015665,classic,32
167,3352,3,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,classic,21
168,3361,1,Carroll St & 6 Ave,40.6740886,-73.9787282,classic,23
169,3364,3,Carroll St & 5 Ave,40.6751622,-73.9814832,classic,27
170,3368,8,5 Ave & 3 St,40.6728155,-73.98352355,classic,30
171,3373,1,3 St & 3 Ave,40.6750705,-73.98775226,classic,79
172,3374,3,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,classic,36
173,3377,1,Carroll St & Bond St,40.6786115,-73.99037292,classic,25
174,3382,7,Carroll St & Smith St,40.680611,-73.99475825,classic,41
175,3384,3,Smith St & 3 St,40.6787242,-73.99599099,classic,25
176,3389,2,Carroll St & Columbia St,40.6830456,-74.00348559,classic,39
177,3392,4,Commerce St & Van Brunt St,40.6812117,-74.00860912,classic,19
178,3394,1,Columbia St & W 9 St,40.6769993,-74.00647134,classic,21
179,3397,3,Court St & Nelson St,40.6763947,-73.99869893,classic,33
180,3398,6,Smith St & 9 St,40.6746957,-73.99785768,classic,23
181,3399,3,7 St & 3 Ave,40.67260298150126,-73.98983001708984,classic,24
182,3402,4,Court St & State St,40.6902375,-73.99203074,classic,32
183,3403,6,4 Ave & 9 St,40.6705135,-73.98876585,classic,31
184,3404,4,7 St & 5 Ave,40.6704922,-73.98541675,classic,27
185,3407,4,Union St & Nevins St,40.67909799721684,-73.98765474557877,classic,35
186,3409,8,Bergen St & Smith St,40.6867443,-73.99063168,classic,48
187,3410,4,Dean St & Hoyt St,40.6864442,-73.98759104,classic,77
188,3411,6,Bond St & Bergen St,40.6849668,-73.98620772,classic,27
189,3412,6,Pacific St & Nevins St,40.6853761,-73.98302136,classic,18
190,3414,1,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,classic,33
191,3419,7,Douglass St & 4 Ave,40.6792788,-73.98154004,classic,51
192,3420,6,Douglass St & 3 Ave,40.6802133,-73.98432695,classic,35
193,3421,3,Hoyt St & Warren St,40.6843549,-73.98901629,classic,35
